titulo,link,data_publicacao,fonte,sim_tecnologia,sim_grupo,sim_impacto,relevante_semantico
Inteligências artificiais têm dificuldade em reconhecer pessoas de pele escura,https://www.gazetadopovo.com.br/economia/quando-o-robo-nao-reconhece-a-pele-escura-dj1czox8aebwgvru2jzvveyze/,29 de jun. de 2018,Gazeta do Povo,0.4939643,0.5783807,0.44225004,True
Google conserta seu algoritmo “racista” apagando os gorilas,https://brasil.elpais.com/brasil/2018/01/14/tecnologia/1515955554_803955.html,16 de jan. de 2018,El País Brasil,0.3281882,0.40661943,0.5140517,True
MPDFT investiga empresas que vendem serviço de reconhecimento facial,https://agenciabrasil.ebc.com.br/geral/noticia/2018-08/mpdft-investiga-empresas-que-vendem-servico-de-reconhecimento-facial,16 de ago. de 2018,Agência Brasil,0.7203826,0.3295103,0.1840536,False
A importância da data está no reconhecimento dos descendentes africanos na constituição e construção da sociedade,https://www.defensoria.rs.def.br/a-importancia-da-data-esta-no-reconhecimento-dos-descendentes-africanos-na-constituicao-e-construcao-da-sociedade,20 de nov. de 2018,www.defensoria.rs.def.br,0.18296447,0.4750572,0.38962066,False
Preconceito das máquinas: como algoritmos podem ser racistas e machistas,https://www.uol.com.br/tilt/noticias/redacao/2018/04/24/preconceito-das-maquinas-como-algoritmos-tomam-decisoes-discriminatorias.htm,24 de abr. de 2018,UOL,0.5719917,0.31860203,0.43213278,True
Inteligência artificial: Por que as tecnologias de reconhecimento facial são tão contestadas,https://www.bbc.com/portuguese/geral-48889883,5 de jul. de 2019,BBC,0.7532159,0.29466954,0.25846094,False
Cerca de 90% das pessoas presas com uso de reconhecimento facial são negras,https://www.brasildefato.com.br/2019/11/27/cerca-de-90-das-pessoas-presas-com-uso-de-reconhecimento-facial-sao-negras/,27 de nov. de 2019,Brasil de Fato,0.5058036,0.6176588,0.46994635,True
Amazon trabalha em legislação para reconhecimento facial,https://forbes.com.br/colunas/2019/10/amazon-trabalha-em-legislacao-para-reconhecimento-facial/,3 de out. de 2019,Forbes Brasil,0.67362297,0.28903204,0.21159783,False
"Tecnologia de reconhecimento facial apresenta viés e imprecisão, aponta estudo do governo dos EUA",https://g1.globo.com/economia/tecnologia/noticia/2019/12/20/tecnologia-de-reconhecimento-facial-apresenta-vies-e-imprecisao-aponta-estudo-do-governo-dos-eua.ghtml,20 de dez. de 2019,G1,0.7780316,0.345475,0.30076125,False
“Racismo algorítmico”: pesquisador mostra como os algoritmos podem discriminar,https://www.rfi.fr/br/brasil/20190806-racismo-algoritmico-pesquisador-mostra-como-os-algoritmos-podem-discriminar,6 de ago. de 2019,RFI,0.6706103,0.23322809,0.4356443,True
Reino Unido usa reconhecimento facial ‘racista’ em passaportes,https://olhardigital.com.br/2019/10/10/noticias/reino-unido-usa-reconhecimento-facial-racista-em-passaportes/,10 de out. de 2019,Olhar Digital,0.55976665,0.45028338,0.53291035,True
O racismo por trás dos filtros do FaceApp e de outras tecnologias,https://noticias.r7.com/tecnologia-e-ciencia/o-racismo-por-tras-dos-filtros-do-faceapp-e-de-outras-tecnologias-19072019/,19 de jul. de 2019,R7,0.55197895,0.5243217,0.62247765,True
Algoritmos reproduzem machismo e racismo por se basearem em práticas discriminatórias dos humanos,https://oglobo.globo.com/economia/algoritmos-reproduzem-machismo-racismo-por-se-basearem-em-praticas-discriminatorias-dos-humanos-24085081,17 de nov. de 2019,O Globo,0.48475102,0.3695531,0.54920757,True
Artigo | Políticas de comunicação e racismo 18 anos após Declaração de Durban,https://www.brasildefato.com.br/2019/12/10/artigo-or-politicas-de-comunicacao-e-racismo-18-anos-apos-declaracao-de-durban/,10 de dez. de 2019,Brasil de Fato,0.23137711,0.5273094,0.61244625,True
Artigo | O racismo que estrutura as tecnologias digitais de informação e comunicação,https://www.brasildefato.com.br/2019/12/03/artigo-or-o-racismo-que-estrutura-as-tecnologias-digitais-de-informacao-e-comunicacao/,3 de dez. de 2019,Brasil de Fato,0.36500984,0.4951954,0.57943916,True
ONU: algoritmos racistas aumentam discriminação racial por serviços de segurança,https://oglobo.globo.com/celina/onu-algoritmos-racistas-aumentam-discriminacao-racial-por-servicos-de-seguranca-24768880,29 de nov. de 2020,O Globo,0.25775042,0.51744306,0.71069276,True
Empresas abandonam reconhecimento facial por identificações equivocadas,https://veja.abril.com.br/tecnologia/empresas-abandonam-reconhecimento-facial-por-identificacoes-equivocadas/,19 de jun. de 2020,VEJA,0.66039765,0.30869883,0.25988027,False
"Universidade Federal de Minas Gerais - Racismo nas redes sociais é tema de entrevista no programa Expresso 104,5",https://ufmg.br/comunicacao/noticias/racismo-nas-redes-sociais-e-tema-de-entrevista-no-programa-expresso-104-5,23 de set. de 2020,UFMG - Universidade Federal de Minas Gerais,0.27256948,0.5192901,0.5994363,True
"Impreciso com negros, reconhecimento facial da Amazon é suspenso",https://exame.com/tecnologia/impreciso-com-negros-sistema-de-reconhecimento-facial-da-amazon-e-suspenso/,11 de jun. de 2020,Exame,0.57871854,0.488168,0.48945278,True
"O reconhecimento facial é racista? Uma questão para IBM, Microsoft e Amazon",https://neofeed.com.br/inovacao/o-reconhecimento-facial-e-racista-uma-questao-para-ibm-microsoft-e-amazon/,12 de jun. de 2020,NeoFeed,0.7197057,0.50104624,0.57063985,True
Riscos da inteligência artificial levantam alerta e suscitam respostas,https://agenciabrasil.ebc.com.br/geral/noticia/2020-08/riscos-da-inteligencia-artificial-levantam-alerta-e-suscitam-respostas,1 de set. de 2020,Agência Brasil,0.64151514,0.20412672,0.32885772,False
Timnit Gebru: quem é a funcionária do Google demitida após acusar empresa de racismo e censura,https://www.bbc.com/portuguese/geral-55195078,4 de dez. de 2020,BBC,0.24594489,0.26951313,0.4194943,False
Artigo: O pacto narcísico da branquitude e o dilema social,https://www.cartacapital.com.br/blogs/intervozes/artigo-o-pacto-narcisico-da-branquitude-e-o-dilema-social/,30 de set. de 2020,CartaCapital,0.34975123,0.47767127,0.48426726,True
Twitter se desculpa por ‘algoritmo racista’,https://oglobo.globo.com/economia/tecnologia/twitter-se-desculpa-por-algoritmo-racista-24652125,21 de set. de 2020,O Globo,0.19814873,0.22225188,0.37568253,False
"Sistema de reconhecimento facial erra, e homem negro é preso por engano",https://www.uol.com.br/tilt/noticias/redacao/2020/06/25/homem-e-preso-apos-erro-de-tecnologia-de-reconhecimento-facial-nos-eua.htm,25 de jun. de 2020,UOL,0.6081041,0.55847853,0.46791276,True
"Usado para detectar a Covid-19, oxímetro é alvo de discriminação racial",https://olhardigital.com.br/2020/08/07/noticias/usado-para-detectar-a-covid-19-oximetro-e-alvo-de-discriminacao-racial/,7 de ago. de 2020,Olhar Digital,0.3176877,0.38752836,0.45067737,False
Twitter diz que irá analisar algoritmo de prévia de imagens após queixas de racismo por usuários,https://g1.globo.com/economia/tecnologia/noticia/2020/09/21/executivos-do-twitter-dizem-que-irao-analisar-possivel-vies-discriminatorio-em-algoritmo-de-previa-de-imagens.ghtml,21 de set. de 2020,G1,0.350802,0.18607154,0.24488944,False
Qual o impacto da tecnologia de reconhecimento facial na população negra?,https://jornal.usp.br/ciencias/qual-o-impacto-da-tecnologia-de-reconhecimento-facial-na-populacao-negra/,4 de mai. de 2021,Jornal da USP,0.7315631,0.6059866,0.43163577,True
"Sob críticas por viés racial, reconhecimento facial chega a 20 estados",https://www1.folha.uol.com.br/cotidiano/2021/07/sob-criticas-por-vies-racial-reconhecimento-facial-chega-a-20-estados.shtml,9 de jul. de 2021,Folha de S.Paulo,0.6513972,0.44651812,0.47096363,True
"'Se você denuncia machismo e racismo, é tratada como louca', diz Timnit Gebru",https://www.bbc.com/portuguese/internacional-58507638,9 de set. de 2021,BBC,0.20999728,0.4534838,0.6129742,True
Facebook cria banco de dados para remover preconceito da inteligência artificial,https://www.cnnbrasil.com.br/tecnologia/facebook-cria-banco-de-dados-para-remover-preconceito-da-inteligencia-artificial/,9 de abr. de 2021,CNN Brasil,0.48089752,0.1292652,0.23968898,False
Racismo algorítmico: a inteligência artificial a serviço da discriminação,https://www.correiobraziliense.com.br/opiniao/2021/01/4902182-racismo-algoritmico-a-inteligencia-artificial-a-servico-da-discriminacao.html,23 de jan. de 2021,Correio Braziliense,0.58782697,0.43760672,0.6492523,True
Cufa fez cadastramento facial de pessoas em favelas; tecnologia pode promover racismo,https://www.brasildefato.com.br/2021/04/26/cufa-fez-cadastramento-facial-de-pessoas-em-favelas-tecnologia-pode-promover-racismo/,26 de abr. de 2021,Brasil de Fato,0.568388,0.5556598,0.5897171,True
5 práticas antirracistas para implementar no dia a dia,https://ibdfam.org.br/noticias/8288/,22 de mar. de 2021,IBDFAM : Instituto Brasileiro de Direito de Família,0.16599599,0.6288713,0.6853229,True
Coded Bias: documentário da Netflix revela viés racista em algoritmos,https://guiadoestudante.abril.com.br/dica-cultural/coded-bias-documentario-da-netflix-revela-vies-racista-em-algoritmos/,16 de abr. de 2021,Guia do Estudante,0.27979612,0.35516453,0.521456,False
Exclusivo: 83% dos presos injustamente por reconhecimento fotográfico no Brasil são negros,https://g1.globo.com/fantastico/noticia/2021/02/21/exclusivo-83percent-dos-presos-injustamente-por-reconhecimento-fotografico-no-brasil-sao-negros.ghtml,21 de fev. de 2021,G1,0.33766916,0.5425875,0.4780493,True
