titulo,fonte,quantidade_aparicoes,data,link
‘Muralha Paulista’ e reconhecimento facial levam Jundiaí a ampliar prisões de procurados,JR - JORNAL DA REGIÃO,2,26 de nov. de 2025,https://jr.jor.br/2025/11/26/muralha-paulista-e-reconhecimento-facial-levam-jundiai-a-ampliar-prisoes-de-procurados/
Reconhecimento facial da Segurança Pública em arraiais identifica três foragidos de Justiça,Secretaria de Segurança Pública do Maranhão,2,16 de jun. de 2025,https://www.ssp.ma.gov.br/reconhecimento-facial-da-seguranca-publica-em-arraiais-identifica-tres-foragidos-de-justica/
Biometria facial em estádios vira ferramenta de segurança e ajuda a prender criminosos,G1,2,30 de jan. de 2024,https://g1.globo.com/jornal-nacional/noticia/2024/01/30/biometria-facial-em-estadios-vira-ferramenta-de-seguranca-e-ajuda-a-prender-criminosos.ghtml
"Segurança é garantida com efetivo policial ampliado, portais de abordagem e câmeras de reconhecimento facial na Micareta de Feira",ba.gov.br,2,1 de mai. de 2025,http://www.ba.gov.br/comunicacao/noticias/2025-05/368201/seguranca-e-garantida-com-efetivo-policial-ampliado-portais-de-abordagem-e
Reconhecimento facial no estádio do Palmeiras abre debate sobre benefícios e perda de privacidade,GE,2,17 de jan. de 2023,https://ge.globo.com/negocios-do-esporte/noticia/2023/01/17/reconhecimento-facial-no-estadio-do-palmeiras-abre-debate-sobre-beneficios-e-perda-de-privacidade.ghtml
Reconhecimento Facial alcança 100 foragidos da Justiça em 2025 | SSP - SECRETARIA DA SEGURANÇA PÚBLICA,ba.gov.br,2,14 de jan. de 2025,http://www.ba.gov.br/ssp/2025/01/14/com-media-de-7-prisoes-por-dia-reconhecimento-facial-da-ssp-alcanca-100-foragidos-da-justica-nos-primeiros-14-dias-de-2025
Hospital da Mulher implanta sistema de reconhecimento facial,Prefeitura Municipal de Feira de Santana,2,4 de abr. de 2024,http://www.feiradesantana.ba.gov.br/secom/noticias.asp?idn=36383
Programa de identificação facial da SSPAP é a nova ferramenta para esclarecimento de crimes,Goias.GOV,2,10 de out. de 2017,https://goias.gov.br/seguranca/programa-de-identificacao-facial-da-sspap-e-a-nova-ferramenta-para-esclarecimento-de-crimes/
Polícia Federal tem novo sistema de identificação biométrica com reconhecimento facial,TudoCelular.com,2,7 de jul. de 2021,https://www.tudocelular.com/seguranca/noticias/n176726/policia-federal-reconhecimento-facial.html
Botafogo começa implantação de sistema de reconhecimento facial no Estádio Santa Cruz/Arena Nicnet,Botafogo Futebol SA,2,10 de abr. de 2025,https://botafogofutebolsa.com.br/botafogo-comeca-implantacao-de-sistema-de-reconhecimento-facial-no-estadio-santa-cruz-arena-nicnet/
GCM de Santo André realiza primeira prisão por meio de câmeras com reconhecimento facial,ABCAgora,2,19 de nov. de 2025,https://abcagora.com.br/gcm-de-santo-andre-realiza-primeira-prisao-por-meio-de-cameras-com-reconhecimento-facial/
